Job_Role,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,Skill_11,Skill_12,Skill_13,Skill_14,Skill_15,Skill_16,Skill_17,Skill_18
Data Governance Specialist,Xamarin,Spring Boot,VSCode,Athena,NoSQL,Computer Vision,Functional Programming,Emacs,Jupyter,CD,ROS,Matlab,TensorRT,Kafka,Superset,GitHub,,
AR/VR Developer,VR,Matlab,BigQuery,NoSQL,CI/CD,Shell Scripting,Emacs,LLVM,Next.js,Django,Babel,System Design,ROS,Android,TensorRT,JIRA,,
Data Engineer,LLVM,Scrum,FastAPI,Leadership,PySpark,VSCode,JIRA,Android,Functional Programming,Babel,BigQuery,Shell Scripting,AR,Hadoop,Kafka,TensorRT,SQL,RESTful API
Web Developer,Computer Vision,Debugging,ROS,Verilog,Leadership,Webpack,Agile,Xamarin,GitHub,Matlab,LESS,API Management,,,,,,
Infrastructure Engineer,SASS,Redux,FPGA,TensorRT,ROS,Computer Vision,Shell Scripting,VSCode,Snowflake,CI/CD,GraphQL,ETL,CI,Security,,,,
Data Governance Specialist,PySpark,Shell Scripting,TensorRT,CI,Leadership,Superset,OpenGL,GitLab,,,,,,,,,,
Digital Forensics Analyst,Mocha,Matlab,Communication,Kotlin,Hibernate,GitHub,Agile,ETL,RESTful API,Shell Scripting,Bitbucket,CI,Verilog,Chai,Django,SQL,,
Data Governance Specialist,LESS,Snowflake,ROS,API Management,OpenGL,Math,Leadership,Mocha,DSA,Spark,Agile,,,,,,,
Network Engineer,BigQuery,Redis,CI,Xamarin,Storybook,Babel,VSCode,DSA,ETL,Mocha,,,,,,,,
UI/UX Designer,Storybook,Apache,AR,R,JIRA,VR,Kafka,Hadoop,Chai,Nginx,OpenGL,TensorRT,Babel,OOP,Matlab,Superset,Scrum,Simulink
Realtime System Engineer,Testing,BigQuery,Security,FPGA,Django,LLVM,Jest,OpenGL,RESTful API,Looker,Hibernate,Computer Vision,Superset,Snowflake,Spring Boot,GitLab,Kotlin,SASS
Database Administrator,Jest,OOP,Jupyter,Chai,Swift,Storybook,Athena,CI,DSA,LLVM,Superset,SQL,Nuxt.js,Communication,NoSQL,Security,Linux CLI,
Big Data Engineer,Computer Vision,Communication,Confluence,DSA,VR,Agile,OOP,JIRA,MongoDB,Django,Redis,GitHub,Functional Programming,NoSQL,Math,Redux,,
Technical Writer,GitLab,CI/CD,Jest,Webpack,Math,Shell Scripting,TensorRT,Babel,Snowflake,,,,,,,,,
Web3 Developer,DSA,Bitbucket,Communication,JIRA,iOS,ElasticSearch,Android,Airflow,Emacs,Verilog,,,,,,,,
Automation Engineer,Superset,Nginx,CI,Confluence,Vulkan,Webpack,Scrum,Computer Vision,,,,,,,,,,
Data Engineer,DSA,API Management,Jupyter,AR,Linux CLI,Babel,TensorRT,Redis,Shell Scripting,Nginx,Spring Boot,Cloud Computing,Testing,OOP,Jest,BigQuery,ROS,
Embedded Systems Engineer,RESTful API,Analytics,Spark,SQL,ETL,LLVM,CI/CD,Kotlin,Math,Shell Scripting,Matlab,Flask,,,,,,
Web3 Developer,Babel,Nuxt.js,Confluence,NoSQL,Functional Programming,Mocha,Swift,Webpack,API Management,CI,Superset,OpenGL,BigQuery,JIRA,ROS,,,
Robotics Engineer,ROS,Jupyter,FPGA,Spring Boot,Android,Nuxt.js,Athena,Apache,Swift,Emacs,MongoDB,System Design,Matlab,Superset,Communication,Redux,Linux CLI,Bitbucket
IT Project Manager,Leadership,Matlab,Redux,Snowflake,R,TensorRT,SQL,DSA,,,,,,,,,,
Technical Writer,Communication,API Management,LESS,Shell Scripting,Apache,ETL,CD,Security,Scrum,Webpack,Simulink,Cloud Computing,,,,,,
Fullstack Developer,Hadoop,Django,VSCode,Analytics,Linux CLI,Next.js,NoSQL,BigQuery,OpenGL,Jupyter,Redux,Vulkan,VR,Flask,GitLab,PySpark,Scrum,TensorRT
IT Project Manager,Snowflake,Apache,CD,CI,PySpark,Simulink,Mocha,Vulkan,API Management,GitHub,Redux,,,,,,,
Network Engineer,Looker,Communication,Emacs,MongoDB,OpenGL,NoSQL,GraphQL,Bitbucket,Kafka,CI/CD,ROS,OOP,Vulkan,Cloud Computing,Snowflake,Functional Programming,Airflow,Testing
Computer Vision Engineer,Superset,SASS,Testing,Hibernate,Jupyter,Jest,Swift,Kafka,Webpack,FastAPI,ETL,OpenGL,Redis,Linux CLI,Athena,,,
Information Security Analyst,Nuxt.js,iOS,VSCode,CD,FastAPI,Simulink,Chai,FPGA,CI/CD,Security,Looker,GraphQL,,,,,,
Compliance Engineer,Jupyter,TensorRT,Flask,GraphQL,Babel,Kafka,Chai,Spring Boot,Cloud Computing,LESS,Simulink,VSCode,SQL,Hadoop,System Design,Shell Scripting,Bitbucket,VR
Compliance Engineer,Airflow,Mocha,Emacs,PySpark,ETL,Kafka,Functional Programming,Spring Boot,FPGA,Flask,,,,,,,,
Integration Engineer,GraphQL,Xamarin,GitHub,Django,SASS,GitLab,AR,BigQuery,,,,,,,,,,
Scrum Master,API Management,Vulkan,Jupyter,Nginx,Hadoop,Jest,Agile,CD,VR,Airflow,SQL,Analytics,Mocha,Redux,Webpack,Kotlin,,
Platform Engineer,CD,Hadoop,Looker,OpenGL,Analytics,iOS,Next.js,GraphQL,Nuxt.js,Nginx,Apache,,,,,,,
Product Manager,ETL,Linux CLI,Testing,OpenGL,Spark,FPGA,Django,API Management,GitHub,CD,PySpark,JIRA,R,,,,,
AI Engineer,Cloud Computing,Mocha,ROS,OOP,PySpark,Security,Shell Scripting,Hibernate,BigQuery,Scrum,Jupyter,Flask,Simulink,Athena,R,TensorRT,,
IT Consultant,Bitbucket,FPGA,ElasticSearch,Agile,CI,VSCode,API Management,Vulkan,GraphQL,,,,,,,,,
Game Developer,ElasticSearch,Hibernate,Nuxt.js,CI/CD,MongoDB,GitLab,FPGA,Mocha,Testing,iOS,,,,,,,,
Big Data Engineer,TensorRT,Webpack,Computer Vision,Agile,ROS,Flask,NoSQL,OpenGL,,,,,,,,,,
VR Developer,Webpack,GitLab,Storybook,GitHub,Athena,Cloud Computing,Next.js,Confluence,Nuxt.js,SQL,Redux,Leadership,CI,Linux CLI,OOP,R,,
Robotics Engineer,NoSQL,Airflow,Spring Boot,CD,R,Functional Programming,Django,Emacs,ROS,Testing,,,,,,,,
Infrastructure Engineer,Django,BigQuery,Swift,Leadership,Simulink,Testing,Shell Scripting,Redis,Nginx,Xamarin,,,,,,,,
System Administrator,Linux CLI,Debugging,ElasticSearch,Superset,Matlab,Kafka,ETL,Spring Boot,Leadership,,,,,,,,,
Big Data Engineer,Spark,FPGA,OpenGL,Agile,MongoDB,Chai,Hibernate,DSA,CI/CD,Math,Snowflake,Android,AR,Testing,,,,
Software Engineer,JIRA,ROS,Airflow,Bitbucket,VSCode,Webpack,Next.js,Kafka,,,,,,,,,,
UI/UX Designer,R,Jest,Spring Boot,VSCode,Shell Scripting,OpenGL,ElasticSearch,Confluence,,,,,,,,,,
Compliance Engineer,Looker,Shell Scripting,Testing,System Design,Emacs,Chai,Bitbucket,OOP,FPGA,VSCode,ElasticSearch,Jest,,,,,,
Blockchain Developer,Debugging,CI,Shell Scripting,Webpack,LLVM,Xamarin,SQL,VSCode,System Design,Kafka,Chai,API Management,,,,,,
Game Developer,DSA,Verilog,GitHub,Jupyter,Matlab,TensorRT,Kotlin,Security,OOP,MongoDB,VR,GitLab,Simulink,Linux CLI,,,,
Data Scientist,iOS,Redux,PySpark,Verilog,GraphQL,Mocha,FastAPI,Leadership,LESS,SASS,ElasticSearch,,,,,,,
BI Developer,Airflow,Webpack,FPGA,Athena,Jest,R,Math,PySpark,Analytics,Communication,NoSQL,,,,,,,
Site Reliability Engineer,CI,LLVM,Scrum,Analytics,Apache,API Management,OpenGL,RESTful API,,,,,,,,,,
IT Project Manager,Looker,SQL,Jest,Athena,Redis,Hadoop,Security,Redux,Nuxt.js,GitHub,Communication,Kotlin,RESTful API,NoSQL,Debugging,,,
Cloud Engineer,Math,VSCode,Nginx,CI/CD,Swift,Hibernate,Confluence,Testing,VR,Kotlin,,,,,,,,
Backend Developer,Scrum,Bitbucket,CD,Hibernate,TensorRT,Apache,CI/CD,SASS,Kafka,Debugging,Storybook,Nginx,Mocha,Communication,iOS,Flask,GitHub,Hadoop
Computer Vision Engineer,FPGA,MongoDB,Testing,Looker,ElasticSearch,Spark,Debugging,DSA,FastAPI,,,,,,,,,
Computer Vision Engineer,Shell Scripting,Scrum,FPGA,ETL,Storybook,Security,Analytics,CD,Kafka,SQL,Agile,Looker,Django,RESTful API,ElasticSearch,Jupyter,,
Robotics Engineer,ROS,API Management,PySpark,NoSQL,JIRA,Hibernate,Jest,OpenGL,Testing,Math,,,,,,,,
Cybersecurity Analyst,Computer Vision,Jest,RESTful API,Athena,Redis,Hibernate,Confluence,Next.js,AR,Leadership,Looker,Scrum,FastAPI,Spark,Webpack,,,
IT Project Manager,Airflow,Leadership,Athena,Confluence,Emacs,Hadoop,DSA,Spring Boot,LESS,,,,,,,,,
DevOps Engineer,Redis,Jupyter,LESS,Redux,iOS,Bitbucket,Babel,Webpack,Functional Programming,FastAPI,API Management,Next.js,ElasticSearch,Debugging,Communication,Vulkan,Verilog,
Game Designer,JIRA,Nuxt.js,CD,Linux CLI,Webpack,Flask,Simulink,Kafka,Android,ElasticSearch,Django,iOS,Snowflake,Jupyter,Next.js,CI/CD,,
Site Admin,Simulink,Debugging,LLVM,Confluence,CI/CD,Cloud Computing,Testing,Athena,AR,Redux,NoSQL,Security,Computer Vision,LESS,Matlab,Math,,
Compliance Engineer,Webpack,ElasticSearch,iOS,Snowflake,ETL,PySpark,Shell Scripting,Kafka,,,,,,,,,,
Machine Learning Engineer,Hibernate,Superset,Nuxt.js,TensorRT,VR,Communication,DSA,Webpack,AR,Kotlin,Scrum,Athena,Agile,Chai,Simulink,,,
Embedded Systems Engineer,JIRA,Simulink,Athena,DSA,GitLab,Looker,Functional Programming,API Management,Flask,VSCode,Cloud Computing,,,,,,,
Realtime System Engineer,R,Superset,PySpark,Looker,TensorRT,API Management,Nuxt.js,AR,Jupyter,Hibernate,Kafka,Emacs,CI,LLVM,FastAPI,GraphQL,Computer Vision,
Site Reliability Engineer,iOS,Computer Vision,FastAPI,VSCode,ElasticSearch,Babel,CI,RESTful API,Chai,DSA,Hadoop,Airflow,Leadership,Snowflake,Android,Analytics,,
UI/UX Designer,Airflow,Functional Programming,NoSQL,LLVM,SASS,Looker,R,SQL,Analytics,Redis,Flask,OOP,Leadership,AR,Snowflake,Debugging,Agile,
Information Security Analyst,CI,Swift,System Design,Apache,Leadership,VR,Android,SASS,Matlab,Next.js,Computer Vision,GitLab,Shell Scripting,Redux,BigQuery,Emacs,,
Web Developer,Confluence,Analytics,Vulkan,Scrum,GraphQL,Webpack,RESTful API,R,Jupyter,Airflow,Nuxt.js,OpenGL,Simulink,NoSQL,Communication,FPGA,CI,Storybook
Compliance Engineer,Jupyter,Django,RESTful API,PySpark,Spring Boot,AR,System Design,ETL,Xamarin,Flask,Leadership,,,,,,,
Data Engineer,Security,Matlab,Redis,R,PySpark,Mocha,Webpack,Athena,ETL,Math,Emacs,Hibernate,,,,,,
Technical Writer,Nuxt.js,Mocha,JIRA,Webpack,Debugging,Next.js,Bitbucket,Scrum,Xamarin,Redis,Confluence,Spring Boot,Vulkan,Computer Vision,,,,
IT Consultant,Spark,Babel,LESS,Spring Boot,Verilog,CI/CD,ROS,Vulkan,Xamarin,Shell Scripting,FPGA,Apache,Computer Vision,OpenGL,ETL,,,
Platform Engineer,OpenGL,Cloud Computing,Verilog,CI,Kotlin,Webpack,Simulink,OOP,API Management,Computer Vision,Looker,SASS,Apache,,,,,
Blockchain Developer,LESS,Shell Scripting,CI,Debugging,Hadoop,AR,Hibernate,ROS,Next.js,TensorRT,ElasticSearch,Flask,DSA,,,,,
Platform Engineer,Security,iOS,CI/CD,NoSQL,Mocha,ETL,Looker,FastAPI,ElasticSearch,ROS,Leadership,Computer Vision,Jupyter,System Design,GitHub,API Management,,
Web Developer,NoSQL,OOP,Jest,JIRA,VSCode,API Management,Confluence,Emacs,Snowflake,ElasticSearch,FastAPI,Shell Scripting,Mocha,,,,,
Security Engineer,Superset,CI/CD,Cloud Computing,CD,JIRA,Nuxt.js,GitLab,Next.js,FastAPI,Simulink,Spark,GraphQL,Analytics,Chai,Security,Swift,Hibernate,Functional Programming
Test Engineer,Redux,Debugging,iOS,Redis,Shell Scripting,Spark,VR,Emacs,BigQuery,Analytics,GitLab,LLVM,Functional Programming,Spring Boot,Chai,Airflow,Snowflake,R
NLP Engineer,Swift,SQL,GitHub,Hibernate,Apache,Superset,Django,Communication,Linux CLI,CI/CD,GitLab,Looker,,,,,,
Embedded Systems Engineer,Verilog,Scrum,Analytics,DSA,iOS,NoSQL,GraphQL,OpenGL,,,,,,,,,,
Blockchain Developer,LESS,Computer Vision,Redis,Functional Programming,Math,ETL,Analytics,Agile,OpenGL,Verilog,Hibernate,Apache,Looker,MongoDB,Jupyter,Shell Scripting,GraphQL,Leadership
Cloud Security Engineer,Spark,CD,Leadership,FastAPI,API Management,Superset,Nginx,Snowflake,Functional Programming,Linux CLI,Django,Android,Simulink,PySpark,Nuxt.js,VSCode,Communication,TensorRT
UI/UX Designer,Airflow,GraphQL,Functional Programming,Security,CI/CD,Debugging,LLVM,Django,Xamarin,,,,,,,,,
Ethical Hacker,Math,Snowflake,Kafka,Next.js,Communication,RESTful API,Apache,MongoDB,Nginx,Flask,Hibernate,Functional Programming,Scrum,Testing,Looker,,,
System Administrator,Functional Programming,Kotlin,Nginx,RESTful API,Analytics,Airflow,Apache,Chai,TensorRT,Hadoop,Simulink,FPGA,Cloud Computing,MongoDB,PySpark,,,
Data Engineer,Testing,GitLab,GraphQL,Flask,Vulkan,Mocha,SASS,LLVM,PySpark,,,,,,,,,
AI Researcher,FPGA,DSA,TensorRT,SQL,VSCode,GitHub,Apache,Jest,Redis,Emacs,Mocha,Linux CLI,Bitbucket,Storybook,Swift,FastAPI,Analytics,ElasticSearch
Realtime System Engineer,Snowflake,CI,Spark,Jupyter,RESTful API,Kotlin,Functional Programming,LESS,Vulkan,Spring Boot,SQL,Django,GitHub,OOP,Hadoop,Mocha,,
Tech Support Engineer,FastAPI,TensorRT,Verilog,Cloud Computing,LLVM,Snowflake,Nuxt.js,Math,R,API Management,Debugging,Kotlin,Apache,Next.js,,,,
Data Governance Specialist,OOP,Linux CLI,Math,R,Hibernate,Functional Programming,Snowflake,JIRA,GraphQL,ETL,DSA,Mocha,BigQuery,OpenGL,AR,,,
Software Engineer,LLVM,SASS,AR,Math,OpenGL,Webpack,Spark,Airflow,Linux CLI,Kotlin,FPGA,Spring Boot,Babel,Redis,JIRA,CD,,
AI Engineer,Looker,Next.js,Debugging,Athena,Scrum,VR,Chai,Hadoop,Storybook,,,,,,,,,
Site Reliability Engineer,Testing,Webpack,Next.js,Kafka,Redux,Kotlin,GraphQL,Swift,,,,,,,,,,
Site Admin,MongoDB,iOS,Jupyter,Hibernate,Functional Programming,Shell Scripting,Leadership,Apache,Webpack,GitLab,Security,,,,,,,
DevOps Engineer,NoSQL,GitHub,DSA,VR,Nginx,SQL,MongoDB,Computer Vision,Functional Programming,Mocha,Security,Jest,Hibernate,Django,Spring Boot,Debugging,,
Game Designer,ElasticSearch,Communication,ROS,LLVM,Kafka,VR,MongoDB,R,TensorRT,Simulink,,,,,,,,
Frontend Developer,Webpack,RESTful API,Testing,NoSQL,CI/CD,Redis,AR,OpenGL,Emacs,Agile,Kotlin,Looker,Airflow,Math,DSA,,,
Technical Writer,CD,Spring Boot,Communication,SASS,OpenGL,Matlab,Security,GitLab,Webpack,Flask,FPGA,ROS,Linux CLI,BigQuery,ETL,Spark,,
Robotics Engineer,SASS,Spark,GitHub,Kotlin,Debugging,ElasticSearch,RESTful API,Jupyter,Bitbucket,Superset,Hibernate,R,Shell Scripting,Computer Vision,Emacs,,,
Test Engineer,Debugging,Kafka,Chai,Athena,SQL,Nginx,SASS,DSA,Babel,LESS,CI/CD,,,,,,,
AR/VR Developer,Vulkan,JIRA,Simulink,Redis,Security,SQL,Snowflake,Django,Verilog,Hibernate,Redux,LLVM,Chai,Nuxt.js,Functional Programming,,,
Frontend Developer,RESTful API,Computer Vision,Verilog,TensorRT,GraphQL,Next.js,Flask,LLVM,,,,,,,,,,
Site Reliability Engineer,GitHub,Security,ETL,Xamarin,Communication,Redis,VSCode,CI/CD,Nginx,Looker,Cloud Computing,Bitbucket,System Design,Leadership,Hibernate,Superset,API Management,AR
Cybersecurity Analyst,Babel,Shell Scripting,BigQuery,Xamarin,CD,Linux CLI,FPGA,Leadership,Hadoop,API Management,Chai,AR,Testing,Verilog,Security,Simulink,Vulkan,Agile
Game Developer,Functional Programming,iOS,Testing,Athena,Airflow,Chai,System Design,VR,Computer Vision,Hibernate,Nuxt.js,GitHub,,,,,,
Product Manager,Cloud Computing,Computer Vision,Shell Scripting,Nuxt.js,RESTful API,iOS,GraphQL,API Management,Linux CLI,FastAPI,Flask,Verilog,,,,,,
Tech Evangelist,Xamarin,Leadership,ETL,Mocha,Swift,Debugging,Agile,OOP,Babel,Analytics,VSCode,System Design,FPGA,Airflow,MongoDB,Looker,Security,NoSQL
Game Developer,ElasticSearch,Matlab,FastAPI,Scrum,Redis,MongoDB,Spark,SQL,Leadership,Flask,GitHub,SASS,CD,CI,,,,
Robotics Engineer,GitLab,Redis,VSCode,JIRA,Cloud Computing,Emacs,ROS,LESS,,,,,,,,,,
NLP Engineer,VSCode,DSA,Redis,Chai,iOS,GraphQL,Debugging,OpenGL,Django,RESTful API,,,,,,,,
Frontend Developer,Spring Boot,NoSQL,CI,Snowflake,Simulink,Apache,Nuxt.js,Redis,Kafka,Android,Hibernate,,,,,,,
DevOps Engineer,LLVM,TensorRT,Kafka,Athena,Webpack,Communication,Matlab,Debugging,Vulkan,Mocha,Analytics,iOS,Kotlin,MongoDB,FPGA,Superset,Agile,OOP
Ethical Hacker,Nginx,AR,FastAPI,Kotlin,Verilog,Testing,SASS,CD,LESS,GitHub,VR,Swift,Hadoop,Agile,Apache,Jest,,
Data Analyst,BigQuery,CI,DSA,Airflow,Superset,NoSQL,RESTful API,MongoDB,Flask,Linux CLI,JIRA,Matlab,Xamarin,VR,CI/CD,ElasticSearch,Analytics,LESS
Tech Support Engineer,Storybook,Webpack,Xamarin,SASS,iOS,Nuxt.js,System Design,Hibernate,LESS,Redux,,,,,,,,
IT Project Manager,Nginx,Chai,CI/CD,Jest,Kafka,Confluence,FPGA,Next.js,,,,,,,,,,
BI Developer,Babel,NoSQL,TensorRT,iOS,Debugging,Vulkan,CI/CD,Shell Scripting,Airflow,GitHub,Kafka,,,,,,,
AI Engineer,VR,Redux,Next.js,AR,Nuxt.js,Superset,GitHub,Functional Programming,CI,Babel,,,,,,,,
DevOps Engineer,Analytics,FastAPI,Jest,Emacs,LESS,Communication,RESTful API,Leadership,GitLab,Apache,Looker,VR,Superset,CI,Babel,AR,,
Database Administrator,JIRA,TensorRT,System Design,BigQuery,Webpack,Swift,Math,CD,RESTful API,Jest,ElasticSearch,Next.js,ROS,DSA,Apache,Django,CI,
VR Developer,Kotlin,Xamarin,Functional Programming,Chai,SQL,Django,MongoDB,SASS,Next.js,Kafka,Cloud Computing,Nuxt.js,Simulink,Babel,GitLab,CD,FPGA,
Blockchain Developer,Simulink,Flask,ROS,Hadoop,Android,Jest,Django,Xamarin,API Management,Swift,Shell Scripting,Scrum,Agile,,,,,
Game Developer,Redux,Django,FPGA,CI/CD,System Design,Android,Airflow,Linux CLI,DSA,Xamarin,Snowflake,ElasticSearch,TensorRT,Mocha,Athena,Hadoop,,
Embedded Systems Engineer,PySpark,Simulink,Airflow,Redis,Flask,OOP,MongoDB,SQL,Webpack,,,,,,,,,
Network Engineer,CI/CD,SASS,Redux,Jupyter,Next.js,Airflow,iOS,Computer Vision,LESS,ETL,Agile,R,BigQuery,Hibernate,Math,GitHub,,
Test Engineer,Simulink,Nginx,VR,Hadoop,Cloud Computing,Chai,AR,Analytics,OpenGL,Jest,Kotlin,Hibernate,Vulkan,Bitbucket,Debugging,Jupyter,BigQuery,
Site Reliability Engineer,GraphQL,Linux CLI,Agile,ROS,OOP,GitLab,Leadership,Django,Shell Scripting,Confluence,Nginx,Matlab,RESTful API,Jupyter,Babel,,,
Digital Forensics Analyst,Computer Vision,CD,Math,Confluence,Linux CLI,TensorRT,Android,Leadership,PySpark,Scrum,API Management,MongoDB,Redux,Security,iOS,CI/CD,,
Data Scientist,MongoDB,Security,Simulink,TensorRT,GitHub,RESTful API,FPGA,Superset,Airflow,System Design,Looker,ROS,Swift,,,,,
Blockchain Developer,Communication,Bitbucket,ETL,SASS,Shell Scripting,Snowflake,Kafka,SQL,Leadership,Cloud Computing,Chai,Redis,Simulink,ElasticSearch,MongoDB,,,
Tech Evangelist,Shell Scripting,RESTful API,Communication,Airflow,CD,NoSQL,Mocha,ROS,Next.js,Functional Programming,OOP,Matlab,Cloud Computing,AR,GitLab,Hibernate,,
Game Developer,Chai,Nuxt.js,Linux CLI,Mocha,Bitbucket,Scrum,Cloud Computing,ETL,Athena,GitHub,Confluence,Redis,TensorRT,Webpack,Django,,,
Product Manager,Communication,Verilog,Simulink,Athena,Hibernate,CI/CD,SASS,Math,Emacs,Confluence,,,,,,,,
Mobile Developer,Webpack,Confluence,SASS,Shell Scripting,Django,FPGA,Chai,Cloud Computing,CD,Vulkan,BigQuery,NoSQL,Superset,SQL,,,,
Web3 Developer,Testing,Webpack,Nuxt.js,CI,Vulkan,Computer Vision,Babel,RESTful API,JIRA,BigQuery,Spring Boot,Shell Scripting,Xamarin,OpenGL,CI/CD,OOP,GraphQL,
Test Engineer,VR,GraphQL,GitLab,Babel,Verilog,Swift,Chai,TensorRT,Testing,CD,OOP,AR,DSA,SASS,,,,
IoT Engineer,Math,CD,Hadoop,DSA,MongoDB,Nginx,Nuxt.js,Redux,Android,OOP,ElasticSearch,AR,Leadership,CI,R,Scrum,GraphQL,Kotlin
Tech Evangelist,LLVM,Looker,Flask,ETL,SQL,Spark,GitLab,Redis,Kafka,OOP,,,,,,,,
Integration Engineer,JIRA,Confluence,Shell Scripting,ROS,Matlab,Cloud Computing,SASS,Flask,RESTful API,Scrum,Hibernate,Jupyter,Functional Programming,Computer Vision,,,,
UI/UX Designer,MongoDB,GitHub,NoSQL,OpenGL,Analytics,VSCode,LESS,Looker,,,,,,,,,,
Security Engineer,AR,Jest,FPGA,Simulink,Babel,API Management,Apache,Chai,Kafka,GitHub,Athena,Spring Boot,NoSQL,ElasticSearch,MongoDB,,,
Database Administrator,Shell Scripting,Xamarin,PySpark,GitLab,Agile,API Management,GraphQL,Kafka,Leadership,SASS,Kotlin,TensorRT,Nginx,ETL,Apache,,,
Data Engineer,Swift,Hadoop,Testing,Snowflake,DSA,VSCode,Confluence,Spark,API Management,Bitbucket,CI/CD,OOP,Communication,NoSQL,BigQuery,Next.js,R,
Data Governance Specialist,Spring Boot,R,Swift,Xamarin,GitLab,Vulkan,Nuxt.js,Kotlin,Chai,FastAPI,Storybook,VSCode,Linux CLI,Jupyter,,,,
IT Support Specialist,GraphQL,Math,Snowflake,Django,Hibernate,LLVM,Nuxt.js,Vulkan,Shell Scripting,NoSQL,ETL,Kotlin,Chai,,,,,
Compliance Engineer,Apache,MongoDB,Matlab,Verilog,VSCode,Next.js,Spring Boot,Android,Computer Vision,,,,,,,,,
Backend Developer,Vulkan,Testing,FastAPI,Leadership,AR,System Design,Nginx,Airflow,ETL,Flask,Bitbucket,Nuxt.js,,,,,,
Game Developer,VR,Scrum,OOP,GitHub,Kafka,AR,Redis,SASS,CI,Django,Shell Scripting,VSCode,,,,,,
Digital Forensics Analyst,Confluence,Redis,Emacs,Xamarin,DSA,Hibernate,PySpark,GitHub,Superset,Next.js,Shell Scripting,,,,,,,
Site Reliability Engineer,Kotlin,Linux CLI,Hibernate,System Design,CI,Leadership,Django,Android,Superset,RESTful API,JIRA,CD,,,,,,
IT Consultant,Nginx,Snowflake,ElasticSearch,Redis,Jupyter,Analytics,Nuxt.js,LESS,,,,,,,,,,
Platform Engineer,iOS,OOP,Kafka,Django,Babel,FPGA,Computer Vision,Shell Scripting,Mocha,Snowflake,Looker,,,,,,,
Ethical Hacker,FPGA,OOP,Shell Scripting,Apache,Storybook,Mocha,NoSQL,Superset,Simulink,R,Flask,Confluence,API Management,Airflow,,,,
Database Administrator,Emacs,Swift,Jest,ROS,Android,Computer Vision,Security,Redux,,,,,,,,,,
NLP Engineer,Agile,Jest,NoSQL,Xamarin,GraphQL,AR,MongoDB,Math,PySpark,Mocha,Looker,,,,,,,
Site Reliability Engineer,Linux CLI,Babel,GraphQL,Hadoop,Storybook,Cloud Computing,Security,Redux,JIRA,Apache,Math,,,,,,,
Big Data Engineer,Chai,Storybook,Superset,Nuxt.js,Testing,Computer Vision,Communication,R,Vulkan,ROS,Debugging,,,,,,,
Test Engineer,Matlab,Webpack,SASS,DSA,OOP,SQL,Bitbucket,Debugging,Confluence,Xamarin,Django,Leadership,Athena,PySpark,CI,LESS,API Management,Superset
Fullstack Developer,VR,Xamarin,Next.js,GitLab,Scrum,Math,Hibernate,Bitbucket,Shell Scripting,Debugging,JIRA,,,,,,,
AI Researcher,Vulkan,Spark,SQL,AR,Airflow,Storybook,Android,Jest,API Management,ElasticSearch,Cloud Computing,Verilog,,,,,,
Compliance Engineer,CD,Communication,RESTful API,Kafka,MongoDB,Looker,Shell Scripting,Verilog,Hibernate,Redux,OOP,Bitbucket,ETL,Spring Boot,Confluence,CI,,
Cybersecurity Analyst,VSCode,SASS,CD,LLVM,Agile,SQL,VR,Django,Storybook,Functional Programming,Hibernate,API Management,OOP,,,,,
DevOps Engineer,Simulink,CI/CD,ElasticSearch,Security,Matlab,ETL,Storybook,Xamarin,Babel,OOP,ROS,TensorRT,Vulkan,PySpark,,,,
Web Developer,Athena,Computer Vision,Airflow,Verilog,Android,Cloud Computing,OpenGL,GraphQL,JIRA,BigQuery,Math,LLVM,Testing,Bitbucket,Nginx,Simulink,SQL,
Machine Learning Engineer,FPGA,Debugging,VR,Snowflake,Redux,Nuxt.js,Storybook,ElasticSearch,BigQuery,ETL,AR,Next.js,,,,,,
AI Engineer,VSCode,Simulink,ROS,ElasticSearch,OpenGL,Emacs,SQL,iOS,RESTful API,Android,Scrum,,,,,,,
Site Admin,Babel,OpenGL,Computer Vision,SASS,Nuxt.js,DSA,Jupyter,SQL,R,,,,,,,,,
Embedded Systems Engineer,Linux CLI,Verilog,Webpack,CD,DSA,Confluence,PySpark,Jupyter,Scrum,SASS,JIRA,Snowflake,VR,FPGA,Leadership,GitLab,,
Site Reliability Engineer,Spring Boot,Verilog,Leadership,System Design,PySpark,RESTful API,Redis,Functional Programming,Redux,CI,Webpack,,,,,,,
System Administrator,Communication,Confluence,VR,Looker,Redis,Spark,Next.js,OpenGL,Nuxt.js,AR,Scrum,,,,,,,
IT Project Manager,Nuxt.js,Athena,Hadoop,Next.js,BigQuery,Confluence,TensorRT,Mocha,CI,Android,Superset,Analytics,ETL,iOS,DSA,CD,API Management,Debugging
Game Developer,BigQuery,Linux CLI,LLVM,Computer Vision,Babel,ROS,OpenGL,Agile,Redux,Nginx,SQL,Math,TensorRT,Scrum,Android,,,
Ethical Hacker,Leadership,Cloud Computing,Storybook,Babel,CI/CD,Chai,Android,DSA,BigQuery,GraphQL,Spring Boot,Superset,Matlab,Redis,System Design,Emacs,GitHub,
Embedded Systems Engineer,Agile,Emacs,Computer Vision,Kotlin,Superset,TensorRT,NoSQL,Vulkan,Simulink,Snowflake,JIRA,Testing,Flask,,,,,
